,Bias Voltage(Volts),Current density (mA/cm2),Current density error,Power corrected (mW),Power corrected error,Luminance [cd/m2],Luminance error,Luminosity [lm/w],Luminosity error,Quantum Eff.[0-1],Quantum Eff.error,Current Eff.[cd/A],Current Eff.error,Radience [mW/m2],Radience error
11,0.871287,16.29474030243261,0.004325996055226824,5.670733977085106e-05,1.3614780607394808e-06,0.4817454159821051,0.01156615382368178,0.010654634629921464,0.0002529768962043856,9.967588835867569e-06,2.3666411603246585e-07,0.002956447338471459,7.019601304561479e-05,3.728293213073705,0.08951203555157664
12,0.9504950000000001,18.252202498356343,0.009833464825772518,5.615130334717567e-05,1.8101971281332866e-07,0.47702172414067623,0.0015378153375313842,0.008633814049684756,2.3182047429357428e-05,8.81135800208892e-06,2.3658758220410334e-08,0.002613502256418825,7.017331264766589e-06,3.691735920261385,0.011901361789173481
13,1.0297,20.174490466798158,0.006184845496383958,5.671928253364687e-05,4.817803572322009e-07,0.48184687324062386,0.0040928648662538125,0.007283253154559486,5.963201222649665e-05,8.052420349955402e-06,6.592960845536803e-08,0.0023883967430732168,1.9555121971217704e-05,3.729078404579018,0.0316752371618804
14,1.10891,22.248323471400393,0.006957988165680473,5.6881983289137944e-05,6.537018562065342e-07,0.4832290636846012,0.005553388219568121,0.0061501981021807595,6.875617549033784e-05,7.322775573290465e-06,8.18650121554606e-08,0.002171979674359638,2.428165941496514e-05,3.739775364177379,0.04297842578609692
15,1.18812,24.407100591715974,0.008680999342537802,5.692634212237955e-05,4.4996917996697857e-07,0.48360590493052835,0.0038226196231081907,0.005236543860898007,3.95292840445224e-05,6.680290849839348e-06,5.042774805633712e-08,0.0019814148063726556,1.4957176101585333e-05,3.742691789768543,0.029583772515909174
16,1.2673299999999998,26.63044049967127,0.008890138067061144,5.738497523390204e-05,3.3892320008005206e-07,0.4875021271829984,0.002879251586625794,0.004535634993740288,2.5273908195690022e-05,6.171889361714402e-06,3.4391604557511184e-08,0.0018306198396869033,1.0200758622179563e-05,3.7728451830310346,0.02228291913741302
17,1.34653,28.9249835634451,0.006879552925706771,5.678442487616951e-05,6.786482713763947e-07,0.4824002764689084,0.005765315303466424,0.0038890904297826066,4.555473983866345e-05,5.622822766803072e-06,6.586275966716101e-08,0.001667763355546233,1.9535294214953973e-05,3.733361267335273,0.04461855827589708
18,1.42574,31.24464168310322,0.008801446416831032,5.7429644268774705e-05,4.345273427728024e-07,0.48788160368239347,0.0036914367054700723,0.003438968581339979,2.5051374970577552e-05,5.264520990385471e-06,3.8349722089997965e-08,0.0015614888742546689,1.1374760302723323e-05,3.775782003206752,0.028568530096831184
19,1.50495,33.64543063773833,0.008321761998685076,5.737690999149447e-05,9.209715815279934e-07,0.4874336105928298,0.007823922607615592,0.0030227133056865943,4.777072188805673e-05,4.884378921725357e-06,7.719233796558442e-08,0.001448736429743006,2.2895715893449353e-05,3.7723149238326408,0.06055039983747491
20,1.58416,36.06009204470743,0.010300920447074294,5.6957052083854506e-05,6.696353629859409e-07,0.48386679502386243,0.005688748013953054,0.0026596812643020613,3.0509702295093206e-05,4.523962085267259e-06,5.1895217020304434e-08,0.0013418346088078829,1.539243630184549e-05,3.744710853639349,0.044025993621692364
